name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Santagloria Coffee & Bakery,"C. de Juan Ignacio Luca de Tena, 14, 28027 Madrid, Spain",40.4476774,-3.6319695,3.5,195,ChIJVVVVVQXfcrQRv3sf66JJmKs,"['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20098:00\u202fPM']",N/A,1,28027,cafeteria
Starbucks On The Go,"C. de Alcalá, 510, 28027 Madrid, Spain",40.441084,-3.6253033,3.3,12,ChIJ9akIsEAvQg0R1qsD4--cHkg,[],N/A,2,28037,cafeteria
Cafeteria Fanatico,"C. de Alfonso Gómez, 15, 28037 Madrid, Spain",40.4390789,-3.6291818,4.6,242,ChIJXwK6TgwvQg0Rhxs5QgSNDgQ,"['Monday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:45\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",913 27 12 16,1,28037,cafeteria
La Galeria Café-Bar,"C. de Miguel Yuste, 4, 28037 Madrid, Spain",40.440718,-3.6255414,4.2,100,ChIJxZbv3wsvQg0R2X3ctVBpa3k,"['Monday: 6:15\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:15\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:15\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:15\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:15\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",919 20 17 90,1,28037,cafeteria
Suanzes Café,"Pl. Juan Antonio Suanzes, 5, 28027 Madrid, Spain",40.445194,-3.6237508,3.5,2,ChIJMR6nS3kvQg0R34_A47VPKmE,[],910 56 64 95,N/A,28027,cafeteria
Nao Urban Café,"C. de Albasanz, 72, 28037 Madrid, Spain",40.4385826,-3.6229264,4.5,35,ChIJSZq4bYcvQg0RlpZc2mAVgxo,"['Monday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",695 80 63 53,N/A,28037,cafeteria
La Quinta Cocina,"C. de Juan Ignacio Luca de Tena, 20, 28027 Madrid, Spain",40.4475669,-3.6292339,4.5,523,ChIJze1yw6kvQg0RxlTNvHV2zc0,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']",N/A,2,28027,cafeteria
Sanpas Cafetería,"C. de Alcalá, 508, 28027 Madrid, Spain",40.4409273,-3.6263412,4,641,ChIJB_UPWgkvQg0RQbB3q2_11Bc,"['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",912 19 59 61,1,28027,cafeteria
"Market Ávila Express - Café Gourmet, Vinos y Alimentcion","C. de Alcalá, 414, 28027 Madrid, Spain",40.4370422,-3.6380888,4.4,54,ChIJz5F7b48vQg0RVatGrkXcqk8,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",915 27 92 95,1,28027,cafeteria
"BAR - CAFETERIA ""El Rincón De Miguel""","C. de Valentín Beato, 11, 28037 Madrid, Spain",40.4395519,-3.625694,4.9,32,ChIJMVPb6gsvQg0RvGMSXwftfxU,"['Monday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",911 37 07 26,N/A,28037,cafeteria
Café de la Cruz,"C. de Arturo Soria, 6, 28027 Madrid, Spain",40.4386823,-3.6381864,4.1,990,ChIJg84hQxQvQg0RZCsHfKJyt38,"['Monday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20092:30\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20092:30\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20091:00\u202fAM']",913 77 42 51,2,28027,cafeteria
Bar Cafeteria San Lázaro,"C. del Marqués de Pico Velasco, 45, 28027 Madrid, Spain",40.44364849999999,-3.644738799999999,4.5,31,ChIJrXRRrKkvQg0RJV6gouE72R4,"['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",N/A,N/A,28027,cafeteria
