ID_Pedidos,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,Festival,duracion(min),ID_Clientes,ID_Comercios,ID_Repartidores
0xb379 ,2022-03-25,19:45:00,19:50:00,Stormy,Jam ,scooter ,No ,5,449,101,91
0x5d6d ,2022-03-19,08:30:00,08:45:00,Sandstorms,Low ,motorcycle ,No ,15,675,19,89
0x7a6a ,2022-04-05,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,No ,10,298,94,87
0x70a2 ,2022-03-26,13:30:00,13:45:00,Cloudy,High ,scooter ,No ,15,121,106,64
0x9bb4 ,2022-03-11,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,No ,10,279,74,6
0x95b4 ,2022-03-04,19:15:00,19:30:00,Fog,Jam ,scooter ,No ,15,105,38,88
0x9eb2 ,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,No ,5,679,20,53
0x1102 ,2022-03-20,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,No ,10,189,31,95
0xcdcd ,2022-02-12,21:55:00,22:10:00,Fog,Jam ,motorcycle ,No ,15,962,54,58
0xd987 ,2022-02-13,14:55:00,15:05:00,Stormy,High ,motorcycle ,No ,10,233,163,85
0x2784 ,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,No ,10,561,21,58
0xc8b6 ,2022-02-13,09:20:00,09:30:00,Sandstorms,Low ,motorcycle ,No ,10,883,173,52
0xdb64 ,2022-02-14,19:50:00,20:05:00,Fog,Jam ,scooter ,No ,15,921,185,41
0x3af3 ,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam ,electric_scooter ,No ,10,553,11,22
0x3aab ,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,No ,15,846,125,4
0x689b ,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam ,motorcycle ,No ,10,145,70,38
0x6f67 ,2022-03-20,20:40:00,20:50:00,Cloudy,Jam ,motorcycle ,No ,10,922,76,77
0xc9cf ,2022-02-15,21:15:00,21:30:00,Windy,Jam ,motorcycle ,No ,15,691,4,49
0x36b8 ,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam ,motorcycle ,No ,5,629,52,84
0x5795 ,2022-03-10,22:30:00,22:45:00,Sandstorms,Low ,electric_scooter ,No ,15,177,132,78
0x6c6b ,2022-03-11,08:15:00,08:30:00,Sandstorms,Low ,motorcycle ,No ,15,926,37,48
0xb816 ,2022-03-27,19:30:00,19:45:00,Windy,Jam ,scooter ,No ,15,729,84,47
0x539b ,2022-03-26,12:25:00,12:30:00,Cloudy,High ,motorcycle ,No ,5,982,67,14
0xa1b2 ,2022-03-27,18:35:00,18:50:00,Sunny,Medium ,electric_scooter ,No ,15,541,67,40
