name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Restaurante Aranda Madrid,"C. de López de Aranda, 46, 28027 Madrid, Spain",40.444153,-3.633975299999999,4.5,1082,ChIJJ11yXBAvQg0RgVxRX7Fafgo,"['Monday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Tuesday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 1:00\u2009–\u20095:00\u202fPM']",910 51 36 59,N/A,28027,restaurante
Restaurante Madrida,"C. de López de Aranda, 36, 28027 Madrid, Spain",40.4439442,-3.634451,4.8,541,ChIJuyxgXIovQg0Re3jFFx2BSkg,"['Monday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']",915 30 62 74,N/A,28027,restaurante
RESTAURANTE 3B PARILLA,"C. de Alcalá, 491, 28027 Madrid, Spain",40.4403426,-3.630113799999999,4.1,630,ChIJQ4Ka2Q0vQg0R8x3kgQ9FVDo,"['Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:30\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM']",687 16 30 91,1,28027,restaurante
Aboca Restobar,"Tampico, 34, 28027 Madrid, Spain",40.443638,-3.6344511,4.5,783,ChIJV_7t9xAvQg0RdG-6cqbAUUU,"['Monday: Closed', 'Tuesday: 12:30\u2009–\u20094:00\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Wednesday: 12:30\u2009–\u20094:00\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Thursday: 12:30\u2009–\u20094:00\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Friday: 12:30\u2009–\u200911:30\u202fPM', 'Saturday: 12:30\u2009–\u200911:30\u202fPM', 'Sunday: 12:30\u2009–\u200911:00\u202fPM']",912 79 48 35,1,28027,restaurante
Restaurante EuMundo,"C. de López de Aranda, 31, 28027 Madrid, Spain",40.4445862,-3.6345376,4,887,ChIJuWw9ihAvQg0RGGhswb29b30,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM']",913 20 00 26,1,28027,restaurante
restaurante Vicky,"C. de Alcalá, 508, 28027 Madrid, Spain",40.4409135,-3.6263916,4.3,896,ChIJneu3XgkvQg0RlmCNvbzUtrA,"['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: Closed', 'Sunday: Closed']",647 82 75 69,1,28027,restaurante
Los Arces,"C. de Doña Juana I de Castilla, 60, 28027 Madrid, Spain",40.4477369,-3.6311572,3.9,114,ChIJz5ZlJQUvQg0RDMc_6EqRyyk,"['Monday: 6:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",917 41 43 08,1,28027,restaurante
El Ratito cervecería restaurante,"C. de López de Aranda, 46, 28027 Madrid, Spain",40.44406439999999,-3.6341771,4.3,727,ChIJCdh0XBAvQg0RiQVZeNeTJFY,"['Monday: Closed', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u200912:00\u202fAM']",913 20 04 79,1,28027,restaurante
Pizzería Katupiri,"5, 28027 Madrid, Spain",40.4428781,-3.6368759,4.7,383,ChIJ2xGCEA8vQg0R04nvPpd9fNw,"['Monday: Closed', 'Tuesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u200912:30\u202fAM', 'Sunday: 1:00\u2009–\u200911:00\u202fPM']",910 74 45 19,1,28027,restaurante
LA COCINITA DE ZOE,"C. de Tampico, 40, 28027 Madrid, Spain",40.444495,-3.635044,3.9,290,ChIJx8hmFjsvQg0RT2BDBqIoMnQ,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200911:00\u202fPM']",631 71 28 85,N/A,28027,restaurante
