name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Supermercados Dia,"C. de López de Aranda, 37, 28027 Madrid, Spain",40.4447191,-3.6342175,3.4,90,ChIJoZlFEHsvQg0RFTzyo7JxIkA,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:30\u202fPM']",912 17 04 53,N/A,28027,supermercado
Supercor Exprés,"C. de Alcalá, 494, 28027 Madrid, Spain",40.4400217,-3.6287903,3.6,174,ChIJbYUsLAwvQg0RJeKkd5_G4e8,"['Monday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:30\u202fAM\u2009–\u200912:00\u202fAM']",913 75 79 68,N/A,28027,supermercado
Dia,"C. de Alcalá, 451, 28027 Madrid, Spain",40.43899529999999,-3.6349566,3.9,541,ChIJB0rSsBMvQg0RdecP8jZteTM,"['Monday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200910:00\u202fPM']",912 17 04 53,N/A,28027,supermercado
Carrefour Express EESS,"Gta. de Yucatán, 28042 Madrid, Spain",40.4507679,-3.627143199999999,4,278,ChIJ_YnIsgYvQg0RExizEczxbQM,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:00\u202fPM']",914 90 89 00,N/A,28043,supermercado
Tienda Supercor Stop & Go,"C. de Arturo Soria, 29, 28027 Madrid, Spain",40.4413057,-3.6410008,5,1,ChIJfXwPMCQvQg0RyQrSIVD4HtQ,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,N/A,28027,supermercado
Autoservicio Peraleda,"Tr.ª de López de Aranda, 3, 28027 Madrid, Spain",40.4425269,-3.6369196,5,2,ChIJT7i3LBEvQg0R67aZ8XW3GfA,"['Monday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM']",N/A,N/A,28027,supermercado
"Alimentacion, pan, bebidas, bazar","C. Germán Pérez Carrasco, 85, 28027 Madrid, Spain",40.4380957,-3.6398691,4.8,5,ChIJOe5Nd54vQg0RyUyUpX2Qyr8,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']",613 18 54 25,N/A,28027,supermercado
Chino,"Pl. de Ensidesa, 3, 28027 Madrid, Spain",40.4435311,-3.6228989,5,7,ChIJhyT-NAgvQg0ReDjMF-D8Ssc,"['Monday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200911:00\u202fPM']",N/A,N/A,28027,supermercado
Hiper 100 y Mas,"28027 Madrid, Spain",40.438602,-3.6349409,4,2,ChIJQ2YusBMvQg0RjcDneSLE3xA,[],N/A,N/A,28027,supermercado
Al Madina Frutas - Verduras Y Alimentación,"28027 Madrid, Spain",40.4383626,-3.6357458,0,0,ChIJc8GemBMvQg0Ri4prIiFfZqI,"['Monday: 9:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed']",N/A,N/A,28027,supermercado
