name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Aloha Shop,"C. del Gral. Aranaz, 1, 28027 Madrid, Spain",40.4387903,-3.6357123,5,1,ChIJhV71vRMvQg0ROVM2udwPZwA,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",644 46 77 10,N/A,28027,tienda
New Shop,"C. de Alcalá, 404, 28027 Madrid, Spain",40.43704169999999,-3.6396898,0,0,ChIJt9eB67svQg0RtoGqHRRjsZY,[],698 75 05 65,N/A,28027,tienda
Casual Shop,"Av. de Machupichu, 16, 28043 Madrid, Spain",40.4576762,-3.6245502,0,0,ChIJHeQxmFUvQg0RpTsbfkR_ur0,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']",639 12 79 71,N/A,28043,tienda
Tienda,"C. de Alcalá, 414, 28027 Madrid, Spain",40.4370422,-3.6380888,5,1,ChIJZWtxm2wvQg0RcqdAu3PuXFk,[],602 51 49 69,N/A,28027,tienda
VAR Shop,"C. de San Narciso, 10, 28022 Madrid, Spain",40.4461565,-3.6080436,4.5,4,ChIJgwKHA0IvQg0REJbfKaAMRwU,"['Monday: 8:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",669 80 07 56,N/A,28022,tienda
Mix's Shop,"Pl. López de la Plata, 7, 28043 Madrid, Spain",40.4590071,-3.6255374,4.4,32,ChIJDes68_4uQg0Ryl-8BfOMIso,"['Monday: 9:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20092:30\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20092:30\u202fPM']",615 52 43 31,N/A,28043,tienda
The Body Shop,"C. de Arturo Soria, 126, 28043 Madrid, Spain",40.4499968,-3.6507593,4.3,38,ChIJw9o-5yUvQg0RGvWmZXZcEfM,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']",917 59 65 82,N/A,28043,tienda
HUMANA,"C. de Alcalá, 434, 28027 Madrid, Spain",40.4383121,-3.6359317,4.2,383,ChIJC1FsmRMvQg0Redf2PamBXjk,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",917 43 28 13,N/A,28027,tienda
REVOLUTION SHOP,"C. de Sancho Dávila, 14, Local Izq, 28028 Madrid, Spain",40.4276816,-3.6621097,0,0,ChIJAQAQzUwvQg0RNWvoPUu-Qxk,[],664 71 02 90,N/A,28028,tienda
Shop Beauty,"C. de Arturo Soria, 28032 Madrid, Spain",40.458032,-3.6583671,0,0,ChIJ2alE0VQvQg0RWEvCich9kVs,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Closed']",647 36 54 17,N/A,28016,tienda
